# Time , Flux-Flux
3.3000e+03,8.8618e-15
3.3100e+03,8.6096e-15
3.3200e+03,8.3479e-15
3.3300e+03,8.0773e-15
3.3400e+03,7.7985e-15
3.3500e+03,7.5120e-15
3.3600e+03,7.2188e-15
3.3700e+03,6.9195e-15
3.3800e+03,6.6148e-15
3.3900e+03,6.3057e-15
3.4000e+03,5.9927e-15
3.4100e+03,5.6767e-15
3.4200e+03,5.3583e-15
3.4300e+03,5.0382e-15
3.4400e+03,4.7171e-15
3.4500e+03,4.3955e-15
3.4600e+03,4.0741e-15
3.4700e+03,3.7533e-15
3.4800e+03,3.4337e-15
3.4900e+03,3.1158e-15
3.5000e+03,2.7999e-15
3.5100e+03,2.4866e-15
3.5200e+03,2.1761e-15
3.5300e+03,1.8688e-15
3.5400e+03,1.5651e-15
3.5500e+03,1.2653e-15
3.5600e+03,9.6974e-16
3.5700e+03,6.7864e-16
3.5800e+03,3.9233e-16
3.5900e+03,1.1113e-16
3.6000e+03,-1.6463e-16
3.6100e+03,-4.3459e-16
3.6200e+03,-6.9833e-16
3.6300e+03,-9.5540e-16
3.6400e+03,-1.2053e-15
3.6500e+03,-1.4474e-15
3.6600e+03,-1.6812e-15
3.6700e+03,-1.9059e-15
3.6800e+03,-2.1208e-15
3.6900e+03,-2.3250e-15
3.7000e+03,-2.5177e-15
3.7100e+03,-2.6980e-15
3.7200e+03,-2.8651e-15
3.7300e+03,-3.0180e-15
3.7400e+03,-3.1560e-15
3.7500e+03,-3.2780e-15
3.7600e+03,-3.3835e-15
3.7700e+03,-3.4717e-15
3.7800e+03,-3.5420e-15
3.7900e+03,-3.5941e-15
3.8000e+03,-3.6277e-15
3.8100e+03,-3.6426e-15
3.8200e+03,-3.6390e-15
3.8300e+03,-3.6171e-15
3.8400e+03,-3.5774e-15
3.8500e+03,-3.5206e-15
3.8600e+03,-3.4477e-15
3.8700e+03,-3.3596e-15
3.8800e+03,-3.2577e-15
3.8900e+03,-3.1435e-15
3.9000e+03,-3.0184e-15
3.9100e+03,-2.8842e-15
3.9200e+03,-2.7425e-15
3.9300e+03,-2.5953e-15
3.9400e+03,-2.4443e-15
3.9500e+03,-2.2912e-15
3.9600e+03,-2.1377e-15
3.9700e+03,-1.9855e-15
3.9800e+03,-1.8359e-15
3.9900e+03,-1.6903e-15
4.0000e+03,-1.5498e-15
4.0100e+03,-1.4154e-15
4.0200e+03,-1.2878e-15
4.0300e+03,-1.1677e-15
4.0400e+03,-1.0555e-15
4.0500e+03,-9.5133e-16
4.0600e+03,-8.5530e-16
4.0700e+03,-7.6733e-16
4.0800e+03,-6.8719e-16
4.0900e+03,-6.1457e-16
4.1000e+03,-5.4906e-16
4.1100e+03,-4.9018e-16
4.1200e+03,-4.3742e-16
4.1300e+03,-3.9024e-16
4.1400e+03,-3.4808e-16
4.1500e+03,-3.1042e-16
4.1600e+03,-2.7674e-16
4.1700e+03,-2.4656e-16
4.1800e+03,-2.1944e-16
4.1900e+03,-1.9498e-16
4.2000e+03,-1.7283e-16
4.2100e+03,-1.5268e-16
4.2200e+03,-1.3425e-16
4.2300e+03,-1.1731e-16
4.2400e+03,-1.0167e-16
4.2500e+03,-8.7151e-17
4.2600e+03,-7.3620e-17
